,date,tz,city,idx,lat,lon,aqi,pm25,pm10,so2,no2,o3,co,h,t,r,w
305,2022-03-16 15:00:00,+08:00,"Nongnongping, Panzhihua (攀枝花弄弄坪)",3606,26.57098,101.68912,93,93,69,9.2,7.8,51.9,11.8,21.1,25.1,,8
306,2022-03-16 15:00:00,+08:00,"Hemenkou, Panzhihua (攀枝花河门口)",3607,26.5928,101.5769,89,89,40,1.6,7.8,35.8,6.4,21.1,25.1,,8
307,2022-03-16 15:00:00,+08:00,"Bingcaogang, Panzhihua (攀枝花炳草岗)",3608,26.585,101.7169,87,87,31,5.1,8.7,56.5,9.1,21.1,25.1,,8
308,2022-03-16 15:00:00,+08:00,"Renhe, Panzhihua (攀枝花仁和)",3609,26.5017,101.7453,89,89,36,2.6,5.1,54.5,5.5,21.1,25.1,,8
309,,+08:00,"Jinjina, Panzhihua (攀枝花金江)",3610,26.5569,101.8472,-,,,,,,,,,,
310,2022-03-13 22:00:00,+08:00,"Shima Middle School, Yibin (宜宾石马中学)",3611,28.8194,104.5969,165,165,85,7.1,19.7,27.3,9.1,59.9,24.7,,2
311,2022-03-16 15:00:00,+08:00,"Municipal party committee, Yibin (宜宾市委)",3612,28.76611,104.6225,117,117,55,5.6,7.4,89.7,7.3,46.1,28.6,,2
312,2022-03-16 15:00:00,+08:00,"No. 4 middle school, Yibin (宜宾宜宾四中)",3613,28.7867,104.6061,119,119,53,6.6,5.5,82.5,6.4,46.1,28.6,,2
313,2022-03-16 15:00:00,+08:00,"City government, Yibin (宜宾市政府)",3614,28.76389,104.6417,119,119,61,7.1,10.1,96.2,5.5,46.1,28.6,,2
314,2022-03-16 15:00:00,+08:00,"Huangjinzui, Yibin (宜宾黄金嘴)",3615,28.71583,104.5761,132,132,59,6.1,8.3,95.5,6.4,46.1,28.6,,2
315,2020-06-27 19:00:00,+08:00,"Shaping Middle School, Yibin (宜宾沙坪中学)",3616,28.7989,104.6789,76,17,7,75.6,7.4,44.3,3.7,70.2,27,0.2,1
316,2021-01-01 01:00:00,+08:00,"Datang Hill, Zigong (自贡大塘山)",3617,29.3628,104.7547,178,178,112,3.1,26.6,2.1,8.2,79.9,5.4,99.1,1
317,,+08:00,"Yanma Road, Zigong (自贡盐马路)",3618,29.3586,104.7214,-,,,,,,,94.7,8.4,0.1,1
318,,+08:00,"Tanmulin Street, Zigong (自贡檀木林街)",3619,29.3564,104.7747,-,,,,,,,94.7,8.4,0.1,1
319,2021-01-01 01:00:00,+08:00,"Chunhua Road, Zigong (自贡春华路)",3620,29.3411,104.7692,161,161,80,3.6,27.5,2.9,6.4,79.9,5.4,99.1,1
320,2022-03-14 01:00:00,+08:00,"Jiushi Hill, Luzhou (泸州九狮山)",3621,28.9583,105.4306,132,132,86,3.6,8.7,14.3,6.4,72.9,22.4,,1
321,2022-03-16 15:00:00,+08:00,"Xiaoshishang Port, Luzhou (泸州小市上码头)",3622,28.9026,105.4436,85,85,51,8.2,11.9,76,4.6,48,28.7,99.1,2
322,2022-03-16 15:00:00,+08:00,"Lantianxian Bridge, Luzhou (泸州兰田宪桥)",3623,28.8558,105.4322,89,89,44,8.7,5.5,76,6.4,48,28.7,99.1,2
323,2022-03-16 15:00:00,+08:00,"City Environment Monitoring Station, Luzhou (泸州市环监站)",3624,28.8833,105.4322,76,65,43,6.6,7.4,76,6.4,48,28.7,99.1,2
324,2022-03-13 22:00:00,+08:00,"Xīshān scenic area, Nanchong (南充西山风景区)",3625,30.8064,106.056,144,144,60,12.2,5.5,65.6,9.1,64,23.6,,2
325,2022-03-16 15:00:00,+08:00,"City Committee, Nanchong (南充南充市委)",3626,30.8023,106.0789,159,159,69,1.1,3.2,43.5,5.5,73.1,23.7,0.3,4
326,2022-03-16 15:00:00,+08:00,"Refinery Factory, Nanchong (南充南充炼油厂)",3627,30.8217,106.1031,91,91,50,0.6,7.8,34.2,6.4,73.1,23.7,0.3,4
327,2022-03-16 15:00:00,+08:00,"Gaoping District Monitoring Station, Nanchong (南充高坪区监测站)",3628,30.7856,106.1064,107,107,44,1.6,2.3,39,5.5,73.1,23.7,0.3,4
328,2022-03-16 15:00:00,+08:00,"Jialing District EPB, Nanchong (南充嘉陵区环保局)",3629,30.7636,106.0642,91,91,46,2.1,2.3,40.3,6.4,73.1,23.7,0.3,4
329,2022-03-16 15:00:00,+08:00,"City Environmental Monitoring Station, Nanchong (南充市环境监测站)",3630,30.8388,106.1087,114,114,45,1.1,4.6,35.4,3.7,73.1,23.7,0.3,4
330,2022-03-16 15:00:00,+08:00,"City Monitoring Station, Neijiang (内江市监测站)",5690,29.5953,105.0331,102,102,38,11.2,13.8,83.8,8.2,48,28.8,0.6,2
331,2022-03-16 15:00:00,+08:00,"Dongxing District Government , Neijiang (内江东兴区政府)",5691,29.5947,105.0717,78,74,43,9.7,10.6,78,8.2,48,28.8,0.6,2
332,2022-03-16 15:00:00,+08:00,"No 2 middle school, Neijiang (内江内江二中)",5692,29.5817,105.0653,93,93,36,7.6,8.7,76,6.4,48,28.8,0.6,2
333,2022-03-16 15:00:00,+08:00,"nèijiāng rìbào shè, Neijiang (内江内江日报社)",5693,29.5822,105.0406,89,89,43,10.2,8.7,81.9,7.3,48,28.8,0.6,2
334,2022-03-13 18:00:00,+08:00,"shíxīhào, Suining (遂宁石溪浩)",5694,30.5797,105.7519,132,132,62,8.2,4.6,76.7,5.5,42.1,30.2,,2
335,2022-03-16 15:00:00,+08:00,"City Monitoring Station, Suining (遂宁市监测站)",5695,30.6133,105.68,61,61,25,4.1,1,44.7,3.7,73.1,23.7,0.3,4
336,2022-03-16 15:00:00,+08:00,"Administrative center , Suining (遂宁行政中心)",5696,30.6347,105.8161,76,76,33,3.1,2.3,43.9,3.7,73.1,23.7,0.3,4
337,2022-03-16 15:00:00,+08:00,"měi níng shípǐn gōngsī, Suining (遂宁美宁食品公司)",5697,30.475,105.5956,68,68,38,3.1,2.3,42.3,6.4,73.1,23.7,0.3,4
338,2022-03-16 15:00:00,+08:00,"niú'ěr qiáo, Leshan (乐山牛耳桥)",5698,29.5844,103.7627,82,82,51,2.6,3.2,70.1,5.5,100,9.4,99.9,2
339,2022-03-16 15:00:00,+08:00,"shì dì sān shuǐ chǎng, Leshan (乐山市第三水厂)",5699,29.6007,103.7506,122,122,57,3.6,3.7,71.4,5.5,100,9.4,99.9,2
340,2022-03-16 15:00:00,+08:00,"City Monitoring Station, Leshan (乐山市监测站)",5700,29.5634,103.757,132,132,58,2.6,10.1,80.6,4.6,100,9.4,99.9,2
341,2022-03-13 22:00:00,+08:00,"Leshan Giant Buddha Scenic Area , Leshan (乐山乐山大佛景区)",5701,29.5467,103.7705,167,167,77,7.6,8.3,78.6,7.3,92.8,8.9,,4
342,2022-03-13 21:00:00,+08:00,"Heilongtan , Meishan (眉山黑龙滩)",5702,30.0506,103.8986,127,127,51,5.6,6,57.1,6.4,64,23,,0.5
343,2022-03-16 15:00:00,+08:00,"Bureau of Meteorology, Meishan (眉山气象局)",5703,30.0874,103.8416,124,124,46,6.6,7.8,89.7,7.3,45,29,,4.6
344,2022-03-13 21:00:00,+08:00,"City Monitoring Station, Meishan (眉山市监测站)",5705,30.062,103.8341,160,160,75,7.1,48.5,23.6,13.6,64,23,,0.5
345,2022-03-16 15:00:00,+08:00,"Ziyang middle school, Ziyang (资阳资阳中学)",5707,30.1506,104.6356,66,59,41,6.1,7.8,66.2,6.4,45,29,,4.6
346,2022-03-16 15:00:00,+08:00,"sìsānyī chǎng, Ziyang (资阳四三一厂)",5708,30.1377,104.6289,63,50,47,5.1,5.1,63,6.4,45,29,,4.6
347,2022-03-16 15:00:00,+08:00,"shīfàn xiào, Ziyang (资阳师范校)",5709,30.1142,104.6469,78,78,25,5.1,9.2,51.9,5.5,45,29,,4.6
348,2022-03-16 15:00:00,+08:00,"qū fǎyuàn, Ziyang (资阳区法院)",5710,30.1259,104.6294,72,42,41,7.1,4.6,72.1,6.4,45,29,,4.6
349,2022-03-11 23:00:00,+08:00,"Xiaoping's former residence , Guangan (广安小平旧居)",7001,30.518,106.631,153,153,56,2.6,5.5,50.6,5.5,50,24,,1.5
350,2022-03-16 15:00:00,+08:00,"Municipal party committee, Guangan (广安市委)",7002,30.4576,106.6303,87,87,40,3.1,3.7,39,5.5,57,27,,2.5
351,2022-03-16 15:00:00,+08:00,"yǒuyì zhōngxué, Guangan (广安友谊中学)",7003,30.4663,106.6271,76,76,39,2.6,3.7,36.6,4.6,57,27,,2.5
352,,+08:00,"Réngōng lake, Guangan (广安人工湖)",7004,30.4844,106.6406,-,,,,,,,,,,1.5
353,2022-03-16 15:00:00,+08:00,"guǎngdiàn huāyuán, Guangan (广安广电花园)",7005,30.4551,106.6388,87,87,53,4.6,2.8,34.6,5.5,57,27,,2.5
