,name,idx,lat,lon,url
3156,"Chenggu County Government, Hanzhong",11168,33.159444440409,107.32805560009,http://aqicn.org/city/china/hanzhong/chengguxianzhengfu/
3157,"Nanzheng County Environmental Protection Bureau, Hanzhong",11169,33.00333332977,106.93305560034,http://aqicn.org/city/china/hanzhong/nanzhengxianhuanbaoju/
3158,"Shiquan County Shiquan Middle School, An'kang",11170,33.046373999761,108.25639100025,http://aqicn.org/city/china/ankang/shiquanxianshiquanzhongxue/
3159,"Hanyin County Environmental Protection Bureau, An'kang",11171,32.896614000337,108.51471100031,http://aqicn.org/city/china/ankang/hanyinxianhuanbaoju/
3160,"Ningshan County Environmental Protection Bureau, An'kang",11172,33.315996000316,108.31392300035,http://aqicn.org/city/china/ankang/ningshanxianhuanbaoju/
3161,"Xunyang County Environmental Protection Bureau, An'kang",11173,32.834841999859,109.35211000028,http://aqicn.org/city/china/ankang/xunyangxianhuanbaoju/
3162,"Gifu County Government Service Center, An'kang",11174,32.313185000388,108.90683100035,http://aqicn.org/city/china/ankang/langaoxianzhengfufuwuzhongxin/
3163,"Pingli County Civil Affairs Bureau, An'kang",11175,32.390542000114,109.36869399973,http://aqicn.org/city/china/ankang/pinglixianminzhengju/
3164,"Ziyang County Meteorological Bureau, An'kang",11176,32.530440999853,108.54350099967,http://aqicn.org/city/china/ankang/ziyangxianqixiangju/
3165,"Baihe County Martyrs Cemetery, An'kang",11177,32.813055559967,110.1100000002,http://aqicn.org/city/china/ankang/baihexianlieshilingyuan/
3166,"Zhenping County Environmental Protection Bureau, An'kang",11178,31.885833329845,109.52361110027,http://aqicn.org/city/china/ankang/zhenpingxianhuanbaoju/
3167,"Danfeng County Environmental Protection Bureau, Shangluo",11179,33.702467999799,110.32194440041,http://aqicn.org/city/china/shangluo/danfengxianhuanbaoju/
3168,"Shanyang County Vocational Education Center, Shangluo",11180,33.52833332962,109.89944439964,http://aqicn.org/city/china/shangluo/shanyangxianzhijiaozhongxin/
3169,"Lishui County Environmental Protection Bureau, Shangluo",11181,33.693319999719,109.12080699964,http://aqicn.org/city/china/shangluo/zuoshuixianhuanbaoju/
3170,"Zhen'an County Environmental Protection Bureau, Shangluo",11182,33.426666670232,109.14416670003,http://aqicn.org/city/china/shangluo/zhenanxianhuanbaoju/
3171,"Shangnan County Environmental Protection Bureau, Shangluo",11183,33.53222222028,110.86777779981,http://aqicn.org/city/china/shangluo/shangnanxianhuanbaoju/
3172,"Luonan County Luonan Middle School, Shangluo",11184,34.093055559567,110.1500000003,http://aqicn.org/city/china/shangluo/luonanxianluonanzhongxue/
3173,"Modern agricultural industrial park, Yanglin",11185,34.307777780321,108.03666669991,http://aqicn.org/city/china/yanglingshifanqu/xiandainongyechanyeyuan/
3174,"Qinchuan Company, Yanglin",11186,34.263055559767,108.09305559964,http://aqicn.org/city/china/yanglingshifanqu/qinchuangongsi/
3175,"Linyi District Terracotta Warriors and Horses Museum, Xian",11193,34.38811200007,109.29103699966,http://aqicn.org/city/china/xian/lintongqubingmayongbowuguan/
3176,"Worker hospital, Lanzhou",1403,36.0756,103.712,http://aqicn.org/city/china/lanzhou/zhigongyiyuan/
3177,"Lanlian hotel, Lanzhou",1404,36.1031,103.631,http://aqicn.org/city/china/lanzhou/lanlianbinguan/
3178,"Yuzhong lándà Campus, Lanzhou",1405,35.940,104.148,http://aqicn.org/city/china/lanzhou/yuzhonglandaxiaoqu/
3179,"Biological Product Institute, Lanzhou",1406,36.0725,103.841,http://aqicn.org/city/china/lanzhou/shengwuzhipinsuo/
3180,"Railway Design Institute, Lanzhou",1407,36.0464,103.831,http://aqicn.org/city/china/lanzhou/tielushejiyuan/
3181,"Municipal Science and Technology Commission, Jinchang",3847,38.5247,102.1878,http://aqicn.org/city/china/jinchang/shikewei/
3182,"Jinchuan Company No.2 Guest House, Jinchang",3848,38.5061,102.1708,http://aqicn.org/city/china/jinchang/gongsierzhao/
3183,"Xinchuan Court, Jinchang",3849,38.5339,102.1725,http://aqicn.org/city/china/jinchang/xinchuanyuan/
3184,"Jiuquan Refractories Company, Jiayuguan",3722,,,
3185,"Bureau of Meteorology, Jiayuguan",3723,39.7711,98.2908,http://aqicn.org/city/china/jiayuguan/qixiangju/
3186,Lanzhou,1575,36.061255,103.834377,http://aqicn.org/city/lanzhou/
3187,Jinchang,1576,38.520089,102.188043,http://aqicn.org/city/jinchang/
3188,Jiayuguan,3721,39.77313,98.289152,http://aqicn.org/city/jiayuguan/
3189,"Yuyuan Hotel, Baiyin",7137,36.5458,104.1731,http://aqicn.org/city/china/baiyin/yuyuanfandian/
